ECRef,RegulatedEntityName,ReportingPeriodName,RegulatedEntityType,TotalExpenditure,DateIncurred,ExpenseCategoryName,SupplierName,FullAddress,AmountInEngland,AmountInScotland,AmountInWales,AmountInNorthernIreland,DateOfClaimForPayment,DatePaid,RegulatedEntityId,SupplierId,JointCampaignName,UnregisteredCampaignerName,CampaigningName,IsOutsideSection75
SP0051219,UK Independence Party (UKIP),Northern Ireland Assembly election 05/05/2011,Political Party,£137.00,09/03/2011,Transport,Stena Line,"1 Suffolk Way, Sevenoaks, Kent, TN13 1XL, United Kingdom",£0.00,£0.00,£0.00,£137.00,09/03/2011,09/03/2011,84,3725,,,,False
SP0051222,UK Independence Party (UKIP),Northern Ireland Assembly election 05/05/2011,Political Party,£62.98,08/03/2011,Transport,Flight - unknown airline,"n/a, n/a, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,£62.98,08/03/2011,08/03/2011,84,3726,,,,False
SP0050973,SDLP (Social Democratic & Labour Party),Northern Ireland Assembly election 05/05/2011,Political Party,"£2,600.00",08/03/2011,Unsolicited material to electors,AB3 Design,"17a Ormeau Road, Belfast, BT2 8HD, United Kingdom",£0.00,£0.00,£0.00,"£2,600.00",20/04/2011,24/05/2011,55,3641,,,,False
SP0051095,Socialist Party (Northern Ireland),Northern Ireland Assembly election 05/05/2011,Political Party,£150.00,07/03/2011,Advertising,Quinn's The Printers,"Units 3 and 6, RJ Hall Industrial Estate, Wilson Street, Belfast, BT13 2GA, United Kingdom",£0.00,£0.00,£0.00,£150.00,07/03/2011,22/03/2011,28,3680,,,,False
SP0051090,Public and Commercial Services Union,Northern Ireland Assembly election 05/05/2011,Third Party,£30.16,07/03/2011,Overheads and general administration,PCS,"160 Falcon Road, London, SW11 2LN, United Kingdom",£0.00,£0.00,£0.00,£30.16,07/03/2011,07/03/2011,959,3677,,,,False
SP0050882,Alliance - Alliance Party of Northern Ireland,Northern Ireland Assembly election 05/05/2011,Political Party,£15.72,07/03/2011,Unsolicited material to electors,Flickr,"Yahoo com, N/A, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,£15.72,07/03/2011,07/03/2011,103,3601,,,,False
SP0051088,Public and Commercial Services Union,Northern Ireland Assembly election 05/05/2011,Third Party,£22.08,01/03/2011,Overheads and general administration,PIXL8,"3 Tun Yard, Peardon Street, London, SW8 3HT, United Kingdom",£0.00,£0.00,£0.00,£22.08,01/03/2011,21/03/2011,959,3678,,,,False
SP0050876,Alliance - Alliance Party of Northern Ireland,Northern Ireland Assembly election 05/05/2011,Political Party,£840.00,01/03/2011,Advertising,Flemming Steele,"North House, 84 North Road, Belfast, BT4 3DJ, United Kingdom",£0.00,£0.00,£0.00,£840.00,23/03/2011,06/04/2011,103,3594,,,,False
SP0049338,Democratic Unionist Party - D.U.P.,Northern Ireland Assembly election 05/05/2011,Political Party,"£4,200.00",01/03/2011,Media,Direct IT Marketing Ltd,"252A HillHall Road, Lisburn, BT27 5JQ, United Kingdom",£0.00,£0.00,£0.00,"£4,200.00",24/05/2011,26/05/2011,70,2886,,,,False
SP0051306,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£50.00,28/02/2011,Rallies and other events,Argyle Business Centre,"39 North Howard Street, Belfast, Antrim, BT13 2AP, United Kingdom",£0.00,£0.00,£0.00,£50.00,09/03/2011,27/04/2011,83,2936,,,,False
SP0051305,Ulster Unionist Party,Northern Ireland Assembly election 05/05/2011,Political Party,£195.00,28/02/2011,Rallies and other events,The Crusty Bap Catering Company,"99 Ballygomartin Road, Belfast, Antrim, ZZ0 0ZZ, United Kingdom",£0.00,£0.00,£0.00,£195.00,09/03/2011,27/04/2011,83,2937,,,,False
SP0050894,Alliance - Alliance Party of Northern Ireland,Northern Ireland Assembly election 05/05/2011,Political Party,£936.00,28/02/2011,Rallies and other events,Park Avenue Hotel,"158 Holywood Road, Belfast, Antrim, BT4 1PB, United Kingdom",£0.00,£0.00,£0.00,£936.00,01/03/2011,10/03/2011,103,3609,,,,False
